Date,City,Temperature
2024-01-01,New York,21
2024-01-08,New York,34
2024-01-15,New York,43
2024-01-22,New York,29
2024-01-29,New York,25
2024-02-05,New York,22
2024-02-12,New York,43
2024-02-19,New York,35
2024-02-26,New York,21
2024-03-04,New York,40
2024-03-11,New York,33
2024-03-18,New York,37
2024-03-25,New York,25
2024-04-01,New York,25
2024-04-08,New York,38
2024-04-15,New York,35
2024-04-22,New York,18
2024-04-29,New York,22
2024-05-06,New York,38
2024-05-13,New York,17
2024-05-20,New York,36
2024-05-27,New York,35
2024-06-03,New York,16
2024-06-10,New York,38
2024-06-17,New York,26
2024-06-24,New York,44
2024-07-01,New York,20
2024-07-08,New York,16
2024-07-15,New York,42
2024-07-22,New York,35
2024-07-29,New York,15
2024-08-05,New York,26
2024-08-12,New York,40
2024-08-19,New York,36
2024-08-26,New York,43
2024-09-02,New York,26
2024-09-09,New York,39
2024-09-16,New York,31
2024-09-23,New York,41
2024-09-30,New York,41
2024-10-07,New York,24
2024-10-14,New York,42
2024-10-21,New York,42
2024-10-28,New York,30
2024-11-04,New York,29
2024-11-11,New York,44
2024-11-18,New York,44
2024-11-25,New York,29
2024-12-02,New York,44
2024-12-09,New York,33
2024-12-16,New York,26
2024-12-23,New York,37
2024-12-30,New York,34
2024-01-01,Chicago,39
2024-01-08,Chicago,17
2024-01-15,Chicago,19
2024-01-22,Chicago,33
2024-01-29,Chicago,21
2024-02-05,Chicago,35
2024-02-12,Chicago,23
2024-02-19,Chicago,21
2024-02-26,Chicago,32
2024-03-04,Chicago,18
2024-03-11,Chicago,39
2024-03-18,Chicago,42
2024-03-25,Chicago,28
2024-04-01,Chicago,32
2024-04-08,Chicago,40
2024-04-15,Chicago,23
2024-04-22,Chicago,40
2024-04-29,Chicago,35
2024-05-06,Chicago,16
2024-05-13,Chicago,34
2024-05-20,Chicago,42
2024-05-27,Chicago,29
2024-06-03,Chicago,42
2024-06-10,Chicago,21
2024-06-17,Chicago,26
2024-06-24,Chicago,43
2024-07-01,Chicago,22
2024-07-08,Chicago,29
2024-07-15,Chicago,17
2024-07-22,Chicago,28
2024-07-29,Chicago,31
2024-08-05,Chicago,18
2024-08-12,Chicago,32
2024-08-19,Chicago,22
2024-08-26,Chicago,18
2024-09-02,Chicago,16
2024-09-09,Chicago,44
2024-09-16,Chicago,20
2024-09-23,Chicago,36
2024-09-30,Chicago,24
2024-10-07,Chicago,18
2024-10-14,Chicago,36
2024-10-21,Chicago,43
2024-10-28,Chicago,32
2024-11-04,Chicago,40
2024-11-11,Chicago,26
2024-11-18,Chicago,16
2024-11-25,Chicago,24
2024-12-02,Chicago,44
2024-12-09,Chicago,18
2024-12-16,Chicago,28
2024-12-23,Chicago,30
2024-12-30,Chicago,29
2024-01-01,Los Angeles,22
2024-01-08,Los Angeles,28
